Departure,Nationality,Destination,Year
TEXEL,DUTCH,PORTO PRAIJO,1815
PORTO PRAIJO,DUTCH,ALLERHEILIGEN BAAIJ,1815
ALLERHEILIGEN BAAIJ,DUTCH,TAFELBAAI,1816
TAFELBAAI,DUTCH,BATAVIA,1816
SOERABAYA,DUTCH,ALGOA BAAI,1817
ALGOA BAAI,DUTCH,NEDERLAND,1818
LONDON,DUTCH,NEW YORK,1853
NEW YORK,DUTCH,CURACAO,1853
CURACAO,DUTCH,THE NETHERLANDS,1853
ISLE OF BEC (CANADA),BRITISH,CADIZ,1793
ST KITTS,BRITISH,HALIFAX,1795
ST JOHNS,BRITISH,LISBON,1795
NEDERLAND,DUTCH,BATAVIA,1836
BATAVIA,DUTCH,ROTTERDAM,1836
NEDERLAND,DUTCH,JAVA,1844
TJILATJAP,DUTCH,NEDERLAND,1844
NEDERLAND,DUTCH,RIO DE LA PLATA,1845
BUENOS AIRES,DUTCH,ANTWERPEN,1845
NIEUWEDIEP,DUTCH,SURINAME,1852
SURINAME,DUTCH,NIEUWEDIEP,1852
NIEUWEDIEP,DUTCH,SURINAME,1853
SURINAME,DUTCH,NIEUWEDIEP,1853
SPITHEAD,BRITISH,ST JOHN'S HARBOUR NEWFOUNDLAND,1770
ST JOHN'S HARBOUR NEWFOUNDLAND,BRITISH,SPITHEAD,1770
ROTTERDAM,DUTCH,BATAVIA,1828
BATAVIA,DUTCH,ROTTERDAM,1829
ROTTERDAM,DUTCH,BATAVIA,1829
BATAVIA,DUTCH,ROTTERDAM,1830
ROTTERDAM,DUTCH,BATAVIA,1830
BATAVIA,DUTCH,ROTTERDAM,1831
BALI,DUTCH,ROTTERDAM,1833
ROTTERDAM,DUTCH,BATAVIA,1832
BALI,DUTCH,ROTTERDAM,1832
ROTTERDAM,DUTCH,BATAVIA,1833
BALI,DUTCH,ROTTERDAM,1834
ROTTERDAM,DUTCH,BATAVIA,1834
BATAVIA,DUTCH,NEDERLAND,1835
ROTTERDAM,DUTCH,BATAVIA,1836
BATAVIA,DUTCH,NEDERLAND,1836
NEDERLAND,DUTCH,ST GEORGE D'ELMINA,1837
ST GEORGE D'ELMINA,DUTCH,BATAVIA,1837
SOERABAIJA,DUTCH,NEDERLAND,1838
NEDERLAND,DUTCH,ST GEORGE D'ELMINA,1840
ST GEORGE D'ELMINA,DUTCH,BATAVIA,1840
JAVA,DUTCH,NEDERLAND,1841
NEDERLAND,DUTCH,ST GEORGE D'ELMINA,1844
ST GEORGE D'ELMINA,DUTCH,BATAVIA,1845
JAVA,DUTCH,BROUWERSHAVEN,1845
LISBON,BRITISH,SPITHEAD,1780
TEXEL,DUTCH,FONTIAAL,1752
FONTIAAL,DUTCH,CURACAO,1752
CURACAO,DUTCH,TEXEL,1753
HELLEVOETSLUIS,DUTCH,SURINAME,1780
FORT AMSTERDAM,DUTCH,HELLEVOETSLUIS,1780
HELLEVOETSLUIS,DUTCH,ST EUSTACIUS,1780
ST EUSTACIUS,DUTCH,ROTTERDAM,1783
HELLEVOETSLUIS,DUTCH,DEMERARY,1785
DEMERARY,DUTCH,NEDERLAND,1785
SOERABAYA,DUTCH,LISSABON,1804
TEXEL,DUTCH,RIO DE JANEIRO,1821
RIO DE JANEIRO,DUTCH,BATAVIA,1821
BATAVIA,DUTCH,KAAPSTAD,1823
KAAPSTAD,DUTCH,NEDERLAND,1824
MEDEMBLIK,DUTCH,NEW YORK,1825
NEW YORK,DUTCH,TAFELBAAI,1825
TAFELBAAI,DUTCH,BATAVIA,1825
CURACAO,DUTCH,SURINAME,1853
TORBAY,BRITISH,MADEIRA,1776
MADEIRA,BRITISH,PORTA PRAYA,1776
PORTA PRAYA,BRITISH,ASCENSION,1776
ASCENSION,BRITISH,ST HELENA,1776
ST HELENA,BRITISH,UK,1776
MADEIRA,BRITISH,CAPE OF GOOD HOPE,1762
CAPE OF GOOD HOPE,BRITISH,MADRAS,1762
MANILLA,BRITISH,MALLACCA,1763
MALACCA,BRITISH,ACHIN ROAD,1763
ACHIN ROAD,BRITISH,MADRAS,1763
CALCUTTA ,BRITISH,BATAVIA,1764
BATAVIA,BRITISH,CANTON,1765
WAMPOA,BRITISH,MALACCA,1765
PULO PERRA,BRITISH,MADRAS,1766
MADRAS,BRITISH,PORT LOUIS,1766
PORT LOUIS,BRITISH,ST AUGUSTINE,1766
ST AUGUSTINE,BRITISH,CAPE OF GOOD HOPE,1766
CAPE OF GOOD HOPE,BRITISH,ST HELENA,1767
ST HELENA,BRITISH,UK,1767
BASSE TERRE,BRITISH,ANTIGUA,1775
BASSE TERRE,BRITISH,SPITHEAD,1776
SPITHEAD,BRITISH,GOREE,1782
ST THOMAS,BRITISH,BARBADOS,1782
ANTIGUA,BRITISH,PLYMOUTH,1784
SPITHEAD,BRITISH,ST HELENA,1794
ST HELENA,BRITISH,DOWNS,1794
NEDERLAND,DUTCH,BATAVIA,1840
NEDERLAND,DUTCH,BATAVIA,1841
NEDERLAND,DUTCH,KAAPSTAD,1841
KAAPSTAD,DUTCH,BATAVIA,1841
BATAVIA,DUTCH,NIEUWEDIEP,1843
BATAVIA,DUTCH,NEDERLAND,1843
NEDERLAND,DUTCH,RIO DE JANEIRO,1846
RIO DE JANEIRO,DUTCH,BATAVIA,1847
RIO DE JANEIRO,DUTCH,BATAVIA,1847
BATAVIA,DUTCH,PADANG,1847
PADANG,DUTCH,BATAVIA,1848
BATAVIA,DUTCH,STRAAT SAPOEDIE,1849
BATAVIA,DUTCH,THE NETHERLANDS,1850
NEDERLAND,DUTCH,LERWICK,1846
LERWICK,DUTCH,HELLEVOETSLUIS,1846
HELLEVOETSLUIS,DUTCH,RIO DE JANEIRO,1846
RIO DE JANEIRO,DUTCH,BATAVIA,1847
CHARLES TOWN (CHARLESTON),BRITISH,LISBON,1751
LISBON,BRITISH,WOOLWICH,1751
SPITHEAD,BRITISH,NEW YORK,1753
NEW YORK,BRITISH,ST MARY'S SOUND, ENGLAND,1753
PLYMOUTH, GB,BRITISH,ST JOHNS HARBOUR, NEWFOUNDLAND,1754
ST JOHN'S HARBOUR (NEWFOUNDLAND),BRITISH,LISBON,1754
LISBON,BRITISH,SPITHEAD,1754
ST HELLENS ROAD (ENGLAND),BRITISH,HALIFAX (NOVA SCOTIA),1755
HALIFAX,BRITISH,PLYMOUTH,1755
LISBON,BRITISH,SPITHEAD,1756
CARRICK ROAD,BRITISH,CHARLES TOWN,1757
CHARLES TOWN (CHARLESTON),BRITISH,DEPTFORD,1757
SPITHEAD,BRITISH,LOUISBOURG,1758
LOUISBOURG,BRITISH,ANTIGUA,1759
ANTIGUA,BRITISH,PORTSMOUTH,1761
TORBAY,BRITISH,HAMPTON ROAD,1762
PLYMOUTH,BRITISH,TENERIFFE,1774
TENERIFFE,BRITISH,PLYMOUTH,1774
NEWPORT RHODE ISLAND,BRITISH,PORTSMOUTH,1777
SPITHEAD,BRITISH,MADEIRA,1778
MADEIRA,BRITISH,SIMON'S BAY,1778
SIMONS BAY,BRITISH,BOMBAY,1778
MADRAS,BRITISH,MADAGASCAR,1780
MADAGASCAR,BRITISH,TABLE BAY,1780
TABLE BAY,BRITISH,ST HELENA,1780
SPITHEAD,BRITISH,SUMATRA,1785
JAVA,BRITISH,SPITHEAD,1786
DUNNOSE,BRITISH,BOMBAY,1788
WHAMPOA,BRITISH,BLACKWALL,1789
PLYMOUTH,BRITISH,CAPE COAST,1756
CAPE COAST,BRITISH,PRINCES ISLAND,1756
PRINCES  ,BRITISH,BARBADOS,1757
SPITHEAD,BRITISH,HAMPTON ROAD VIRGINIA,1761
VIRGINIA,BRITISH,PORTSMOUTH,1761
MADEIRA,BRITISH,ST HELENA,1762
ST HELENA,BRITISH,DOWNS UK,1762
CADIZ,BRITISH,SPITHEAD,1750
PLYMOUTH,BRITISH,MADEIRA,1751
PORT PRAYA,BRITISH,SIERRA LEONE,1751
CORK ,BRITISH,CHARLESTOWN,1780
MADRAS,BRITISH,SPITHEAD,1792
NEDERLAND,DUTCH,ELMINA,1802
ST GEORGE D'ELMINA,DUTCH,NIEUWE DIEP,1802
NEDERLAND,DUTCH,SURINAME,1851
SURINAME,DUTCH,CURACAO,1851
CURACAO,DUTCH,HELLEVOETSLUIS,1851
PENSICOLA FLORIDA,BRITISH,THE DOWNS, UK,1778
SPITHEAD,BRITISH,SANTA CRUZ, TENERIFE,1779
GRAVESEND,BRITISH,JAVA,1785
JAVA HEAD,BRITISH,GRAVESEND,1786
NEDERLAND,DUTCH,NEW YORK,1815
NEW YORK,DUTCH,SCHIEDAM,1815
CANTON,BRITISH,DEPTFORD,1751
TEXEL,DUTCH,BATAVIA,1819
BATAVIA,DUTCH,ANTWERPEN,1820
ANTWERPEN,DUTCH,BATAVIA,1821
BATAVIA,DUTCH,ANTWERPEN,1821
SPITHEAD,BRITISH,GIBRALTAR,1759
YARMOUTH,BRITISH,BARBADOS,1777
ENGLISH BAY, ANTIGUA,BRITISH,ANTIGUA,1778
BARBADOS (CRUISING),BRITISH,CARLISE BAY BARBADOS,1779
ANTIGUA,BRITISH,BARBADOS,1779
BARBADOS,BRITISH,DOWNS UK,1779
KEDGEREE,BRITISH,ST HELENA,1801
TEXEL,DUTCH,BATAVIA,1836
JAVA,DUTCH,TEXEL,1836
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
SPITHEAD,BRITISH,CRUISE IN WESTERN APPROACHES,1760
NEDERLAND,DUTCH,BATAVIA,1851
BATAVIA,DUTCH,NEDERLAND,1852
NEDERLAND,DUTCH,BATAVIA,1852
BATAVIA,DUTCH,NIEUWEDIEP,1853
NEDERLAND,DUTCH,BATAVIA,1853
BATAVIA,DUTCH,NEDERLAND,1854
CADIZ,SPANISH,RIO DE JANEIRO,1765
RIO DE JANEIRO,SPANISH,MANILA,1765
MANILA,SPANISH,CADIZ,1767
MANILA,SPANISH,ISLA DE LA ASCENSION,1767
CAPE CLEAR,BRITISH,SEARCHING FOR AN ISLAND,1751
PORTSMOUTH,BRITISH,MADEIRA,1751
MADEIRA,BRITISH,ACCRAW,1752
ACCRAW,BRITISH,UK,1752
KINSALE (EIRE),BRITISH,MADEIRA,1752
MADEIRA,BRITISH,RIVER GAMBIA,1752
RIVER GAMBIA,BRITISH,RIVER SERRALIONE,1752
RIVER SERRALIONE,BRITISH,CAPE MOUNT,1752
CAPE MOUNT,BRITISH,CAPE MONIFERADO,1752
CAPE MONIFERADO,BRITISH,CREW SETRA,1752
CREW SETRA,BRITISH,DIXCOVE,1752
ACCRAW,BRITISH,ST THOMAS,1752
ST THOMAS,BRITISH,BARBADOS,1753
ANTIGUA,BRITISH,LIZARD,1755
